City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Westerly,90,US,1527824100,93,41.38,-71.83,66.2,4.7
Balingcanaway,75,PH,1527822000,55,15.48,120.69,91.4,2.24
Punang,92,PH,1527825500,100,9.02,118.05,75.35,2.26
Waggaman,1,US,1527824100,83,29.92,-90.21,82.4,4.7
Madrid,20,ES,1527823800,93,40.42,-3.7,55.4,2.24
Evinayong,88,GQ,1527825503,98,1.44,10.55,70.13,2.48
Leichlingen,92,DE,1527823200,93,51.11,7.01,66.2,4.7
Tulua,0,NG,1527825504,77,12.3,4.78,77.69,6.29
Bjornevatn,75,NO,1527823200,87,69.67,29.98,48.2,4.7
Busko-Zdroj,12,PL,1527825351,75,50.47,20.72,62.12,2.93
Gekhi,32,RU,1527825505,86,43.17,45.47,64.28,9.75
Pines,90,US,1527822900,67,47.55,-122.19,59.0,5.82
Cary,1,US,1527825240,88,35.79,-78.78,75.2,8.05
Hamilton,90,BM,1527822960,78,32.3,-64.78,75.2,11.41
Balete,40,PH,1527822000,56,14.02,121.1,93.2,12.75
Maplewood,1,US,1527824160,60,44.95,-93.0,75.2,8.05
Leominster,48,GB,1527821400,93,52.23,-2.74,60.8,4.7
Firminy,20,FR,1527823800,93,45.39,4.29,57.2,2.59
Zaliztsi,0,UA,1527825509,40,49.8,25.38,62.39,11.1
El Progreso,75,HN,1527822000,100,15.4,-87.81,75.2,6.93
Karwar,92,IN,1527825510,97,14.8,74.13,77.15,1.36
Leninsk,40,RU,1527823800,66,48.69,45.2,48.2,17.9
Pundaguitan,88,PH,1527825511,100,6.37,126.17,83.54,4.61
Farah,0,AF,1527825511,16,32.37,62.11,79.76,2.48
Branesti,0,RO,1527825512,84,45.03,25.42,57.8,3.38
Apia,20,NG,1527825512,95,9.23,7.26,71.75,7.52
Zabbar,0,MT,1527822900,94,35.88,14.54,68.0,5.82
Newark,90,US,1527824100,93,40.74,-74.17,69.8,3.71
Orneta,0,PL,1527825514,61,54.12,20.13,59.78,5.95
Indang,40,PH,1527822000,56,14.2,120.88,93.2,12.75
Wiener Neustadt,0,AT,1527823200,77,47.81,16.24,64.4,4.7
Roldanillo,40,CO,1527822000,88,4.41,-76.15,69.8,1.92
Rio Grande City,1,US,1527822900,70,26.38,-98.82,84.2,11.41
Lahan,92,NP,1527825517,96,26.71,86.48,71.66,2.71
Jizan,0,SA,1527822000,66,16.89,42.56,91.4,4.7
Nkayi,64,CG,1527825517,97,-4.18,13.29,71.93,2.48
Springdale,20,US,1527821880,78,36.19,-94.13,78.8,5.73
Siilinjarvi,0,FI,1527823200,66,63.08,27.67,51.8,5.82
Vaikam,75,IN,1527823800,79,9.77,76.4,84.2,2.24
Hjortshoj,64,DK,1527823200,72,56.25,10.27,60.8,3.36
Ramsey,1,US,1527824160,73,45.26,-93.45,75.2,8.05
Skofljica,20,SI,1527823800,93,45.98,14.58,57.2,2.24
Asamankese,0,GH,1527822000,94,5.86,-0.66,78.8,5.82
Tibagon,75,PH,1527822000,62,7.23,125.86,87.8,5.82
Betafo,20,MG,1527825521,84,-19.84,46.86,39.44,4.16
Doncaster,80,GB,1527823200,100,53.52,-1.13,57.2,4.7
Charter Oak,90,US,1527821760,59,45.82,-122.56,60.8,8.05
Krosno,0,PL,1527823800,93,49.69,21.77,57.2,3.36
Quime,56,BO,1527825524,99,-16.98,-67.22,43.22,1.7
Kuchurhan,0,UA,1527822000,49,46.74,29.98,68.0,15.66
Surendranagar,0,IN,1527825525,71,22.72,71.65,84.62,8.19
Ilava,20,SK,1527823800,93,49.0,18.23,60.8,4.7
Marhaura,40,IN,1527822000,74,25.97,84.87,84.2,11.41
Novomikhaylovskiy,12,RU,1527825526,93,44.26,38.86,61.31,1.7
Riachao do Jacuipe,88,BR,1527825527,98,-11.81,-39.39,67.88,3.38
Mokrous,0,RU,1527825528,46,51.24,47.51,47.54,14.79
Horqueta,88,PY,1527825528,99,-23.34,-57.05,68.15,2.26
Chimoio,0,MZ,1527822000,82,-19.11,33.48,57.2,4.7
Abraveses,20,PT,1527822000,93,40.68,-7.92,51.8,2.59
Sultanpur,48,IN,1527825530,71,26.26,82.07,84.26,13.67
Krasna,0,PL,1527823800,93,49.78,21.86,57.2,3.36
Belgaum,44,IN,1527825532,88,15.87,74.5,78.68,3.04
Kibiti,0,TZ,1527825533,78,-7.72,38.94,75.35,4.38
Sieut,36,RO,1527823800,87,46.98,24.65,57.2,1.12
Embu,68,KE,1527825533,98,-0.54,37.46,59.78,1.7
Khandela,0,IN,1527825534,37,27.61,75.5,92.36,4.38
Blieskastel,75,DE,1527823200,100,49.24,7.26,60.8,11.41
Banos,90,FR,1527823800,93,43.74,-0.62,60.8,3.36
The Hammocks,40,US,1527823800,83,25.67,-80.44,80.6,7.63
Csenger,44,RO,1527823800,93,47.84,22.68,60.8,2.15
Sumatac,0,BA,1527825538,94,45.1,15.86,57.62,2.15
Gosforth,90,GB,1527823200,100,55.0,-1.62,53.6,3.71
Prigorodnyy,0,RU,1527825539,42,47.93,40.05,57.71,16.46
Cocobeach,40,GA,1527823800,88,1.01,9.58,78.8,10.29
Nucsoara,0,RO,1527825540,89,45.33,24.78,49.52,0.36
Langenzersdorf,0,AT,1527823800,77,48.31,16.36,64.4,4.7
Witu,64,KE,1527825541,98,-2.39,40.44,73.1,5.61
Tomislavgrad,0,BA,1527823800,88,43.71,17.23,62.6,4.7
Novi,90,US,1527824700,61,42.48,-83.48,78.8,6.93
Nizhniy Kislyay,0,RU,1527825542,46,50.86,40.17,46.01,10.65
Grdelica,0,RS,1527823800,76,42.89,22.07,57.2,2.24
Shostka,0,UA,1527825544,48,51.86,33.47,48.08,8.19
Guanay,92,BO,1527825544,91,-15.5,-67.88,65.63,1.03
Rovereto,20,IT,1527821700,81,45.89,11.05,44.6,5.82
Grindavik,90,IS,1527822000,81,63.84,-22.43,42.8,5.82
Duekoue,88,CI,1527825545,94,6.74,-7.35,74.45,3.94
Svarychiv,0,UA,1527823800,93,48.96,24.19,55.4,4.61
Caratinga,56,BR,1527825546,95,-19.79,-42.14,56.72,3.38
Shaoguan,64,CN,1527825547,82,24.81,113.59,77.15,3.04
Idar,75,DE,1527823200,100,49.72,7.3,60.8,13.87
Marabba,32,SD,1527825548,93,12.35,32.18,73.28,2.93
San Vicente,40,SV,1527821400,94,13.64,-88.78,75.2,4.7
Sharya,20,RU,1527825550,47,58.37,45.52,40.52,8.86
Konstantinovskiy,0,RU,1527825551,50,57.83,39.59,42.14,10.31
Chochkan,40,AM,1527823800,77,41.18,44.83,64.4,9.17
Cosoveni,0,RO,1527823800,82,44.25,23.93,60.8,5.82
Suditi,32,RO,1527825553,64,44.58,27.6,60.68,3.6
Rumes,20,FR,1527823800,100,50.56,3.3,60.8,3.36
Qiryat Yam,20,IL,1527822240,88,32.85,35.07,68.0,5.82
Saint-Gabriel,80,CA,1527825554,74,46.3,-73.38,74.45,8.86
Manamadurai,20,IN,1527822000,66,9.68,78.45,86.0,11.1
Warren,1,US,1527824700,65,42.48,-83.03,78.8,5.82
Garmsar,48,IR,1527825556,49,35.22,52.34,67.16,2.15
Shorkot,0,PK,1527825556,38,30.83,72.08,89.3,6.96
Burla,24,RU,1527825557,55,53.34,78.33,65.36,17.02
Luzilandia,64,BR,1527825557,71,-3.46,-42.37,79.85,4.38
Todiresti,0,RO,1527823800,63,47.32,26.83,68.0,9.17
Thies,40,SN,1527822000,94,14.83,-17.11,71.6,5.82
San Salvo,0,IT,1527821400,93,42.04,14.73,60.8,6.93
Pailon,75,BO,1527822000,94,-17.66,-62.72,71.6,5.82
Hosingen,75,LU,1527823200,100,50.01,6.09,60.8,6.93
Teror,75,ES,1527823800,68,28.06,-15.55,66.2,24.16
Castle Douglas,12,GB,1527825562,90,54.94,-3.92,53.3,2.59
Manaring,36,PH,1527825563,91,17.17,121.9,84.35,1.7
Slavuta,0,UA,1527823800,58,50.3,26.87,57.2,8.95
Iaciara,64,BR,1527825564,66,-14.1,-46.63,65.63,5.06
Fleury-Merogis,75,FR,1527823800,93,48.64,2.36,60.8,5.82
Puerto Berrio,36,CO,1527825566,92,6.49,-74.4,77.42,1.03
Kimberley,0,ZA,1527822000,68,-28.74,24.76,32.0,4.7
Oxilithos,0,GR,1527821400,88,38.58,24.12,66.2,3.36
El Banco,32,CO,1527825568,87,9.0,-73.97,81.11,1.59
Acaxochitlan,8,MX,1527825568,92,20.17,-98.2,62.3,1.81
Soyapango,40,SV,1527821400,94,13.73,-89.15,75.2,4.7
Baindur,76,IN,1527825569,100,13.87,74.63,80.84,7.18
Turzovka,20,SK,1527823800,93,49.41,18.63,57.2,4.7
Kajaani,0,FI,1527823200,61,64.22,27.73,50.0,5.82
Quintong,12,PH,1527825571,92,15.96,120.32,83.36,3.04
Tarn Taran,0,IN,1527823500,55,31.46,74.93,91.4,13.87
Kaita,20,JP,1527822000,46,34.37,132.55,75.2,4.7
Romita,5,MX,1527821040,14,20.87,-101.52,82.4,18.34
Forth,0,DE,1527823440,88,49.59,11.22,62.6,3.36
Cartago,56,CR,1527822000,88,9.86,-83.92,69.8,13.87
Sibi,0,PK,1527825574,15,29.55,67.88,96.5,4.61
Littleton,1,US,1527824580,22,39.61,-105.02,78.8,23.04
Moinesti,0,RO,1527823800,63,46.47,26.49,60.8,5.82
Gemena,88,CD,1527825576,99,3.25,19.78,70.13,2.04
Norden,75,DE,1527823500,93,53.59,7.21,64.4,2.24
Norheimsund,12,NO,1527825577,70,60.37,6.14,55.1,1.7
Turek,44,PL,1527825577,66,52.02,18.5,64.82,4.16
Sayansk,88,RU,1527825578,88,54.11,102.18,48.8,11.99
Yiyang,92,CN,1527825578,100,28.59,112.35,68.33,3.6
Norfolk,1,US,1527825240,94,36.85,-76.29,78.8,8.05
Jerantut,56,MY,1527825579,83,3.94,102.37,81.11,2.37
Niugan,40,PH,1527822000,56,14.82,120.85,93.2,12.75
Billerica,90,US,1527825360,78,42.56,-71.27,73.4,3.36
Nuh,0,IN,1527822000,59,28.1,77.0,89.6,11.41
Hajdudorog,0,HU,1527822900,72,47.82,21.5,64.4,1.12
Woonsocket,90,US,1527823860,82,42.0,-71.51,69.8,3.36
Narathiwat,20,TH,1527822000,66,6.43,101.8,87.8,3.36
Haskovo,0,BG,1527823800,82,41.93,25.56,55.4,4.7
Chengzihe,0,CN,1527825583,56,45.35,131.0,78.14,5.61
Kolosovka,88,RU,1527825584,73,56.47,73.61,57.26,11.32
Kalach-na-Donu,40,RU,1527823800,66,48.69,43.52,48.2,17.9
Velden am Worthersee,75,AT,1527823800,93,46.61,14.04,60.8,4.7
Baraolt,0,RO,1527825585,74,46.08,25.6,50.78,2.04
Velesin,24,CZ,1527825586,93,48.83,14.46,58.52,2.59
Brodek u Prerova,0,CZ,1527823800,100,49.48,17.34,62.6,4.16
Livadiya,0,RU,1527825587,96,42.87,132.68,50.6,4.16
Anekal,40,IN,1527823800,100,12.71,77.7,77.0,8.05
Tingambato,0,MX,1527825588,24,19.5,-101.85,68.51,4.5
Jyderup,12,DK,1527823200,76,55.66,11.41,55.4,5.82
Uplawmoor,75,GB,1527823200,93,55.76,-4.5,55.4,5.82
Zarand,0,IR,1527825590,21,30.81,56.57,71.84,2.37
Clausthal-Zellerfeld,32,DE,1527825590,92,51.81,10.34,61.58,2.71
Madhupur,36,IN,1527825591,88,24.26,86.65,82.73,8.41
Manati,0,AL,1527823200,93,41.76,19.67,66.2,3.36
Tamayo,80,DO,1527825592,79,18.4,-71.2,72.92,3.6
Timiryazevskoye,48,RU,1527825592,85,56.49,84.88,52.49,8.75
Deqing,75,CN,1527823800,57,30.54,119.97,78.8,6.71
Kiwira,44,TZ,1527825593,94,-9.17,33.54,47.72,1.92
Vyshhorod,0,UA,1527823800,54,50.58,30.49,55.4,8.95
Halmstad,0,SE,1527823200,76,56.67,12.86,57.2,6.93
Schaffhausen,20,CH,1527823200,93,47.7,8.63,57.2,3.36
Barra Velha,20,BR,1527822000,100,-26.63,-48.68,62.6,4.7
Vijayapuri,0,IN,1527825595,59,16.57,79.32,89.84,4.05
Lighthouse Point,1,US,1527821580,78,26.28,-80.09,80.6,3.36
Ticuantepe,40,NI,1527822000,78,12.02,-86.21,80.6,9.17
Santiago,20,CL,1527825600,80,-33.44,-70.65,41.0,1.12
Nejapa,40,SV,1527821400,94,13.81,-89.23,75.2,4.7
Melzo,0,IT,1527823200,77,45.5,9.43,66.2,5.82
Mozirje,20,SI,1527823800,93,46.34,14.96,62.6,2.24
Pawa,0,IN,1527825599,46,30.85,75.95,93.89,15.79
Bree,75,NL,1527825000,93,51.14,5.6,64.4,9.17
Gostyn,0,PL,1527823800,88,51.88,17.01,62.6,5.82
College Place,75,US,1527821760,48,46.05,-118.39,66.2,6.93
Nea Peramos,0,GR,1527823200,39,38.0,23.42,66.2,9.17
Harseni,0,RO,1527825633,86,45.75,25.02,50.06,1.59
Atri,8,IT,1527821400,93,42.58,13.98,60.8,6.93
Tucano,76,BR,1527825636,92,-10.96,-38.79,66.98,5.39
Rende,75,TW,1527822000,58,22.97,120.25,93.2,8.05
Sagurong,20,PH,1527825609,89,13.78,122.96,87.32,3.71
Pasching,75,AT,1527823200,72,48.26,14.2,66.2,6.93
Biberach,0,DE,1527825000,87,48.29,10.22,59.0,9.17
Tremembe,40,BR,1527825600,77,-22.96,-45.55,66.2,2.24
Woodway,20,US,1527821760,71,47.79,-122.38,59.0,6.93
Zaqatala,75,AZ,1527822000,93,41.63,46.65,62.6,4.7
Roding,90,DE,1527823440,100,49.19,12.52,60.8,3.36
Ulverstone,0,AU,1527825644,79,-41.16,146.17,51.68,2.59
Erkelenz,88,DE,1527825120,93,51.08,6.32,64.4,2.24
Santa Ana,40,SV,1527821400,94,13.99,-89.56,71.6,4.7
Kiknur,68,RU,1527825647,57,57.3,47.21,39.35,8.97
Tomohon,40,ID,1527823800,66,1.33,124.84,84.2,9.17
Nocupetaro,0,MX,1527825620,70,19.05,-101.15,70.4,2.37
Cajititlan,75,MX,1527821400,42,20.43,-103.32,84.2,18.34
Muskegon Heights,1,US,1527824100,93,43.2,-86.24,75.2,3.36
Chiapa,36,MX,1527825621,91,18.47,-96.95,62.75,2.15
Lipova,8,RO,1527823800,88,46.09,21.7,62.6,5.82
Dudesti,12,RO,1527825652,55,44.9,27.43,64.73,6.73
Predivinsk,92,RU,1527825624,95,57.07,93.44,46.28,10.76
Dumarais,75,PH,1527822000,55,15.43,120.69,91.4,2.24
Valletta,0,MT,1527822900,94,35.9,14.51,68.0,5.82
Mehndawal,8,IN,1527825628,67,26.98,83.11,83.72,12.66
Lordelo,40,PT,1527823800,93,41.37,-8.38,53.6,2.24
Petrovice u Karvine,0,CZ,1527823800,100,49.9,18.55,57.2,2.71
Imeni Zhelyabova,0,RU,1527825658,48,58.95,36.6,42.32,7.63
El Rosario,5,MX,1527821220,74,22.99,-105.86,82.4,3.36
Siraha,76,NP,1527825631,74,26.66,86.21,81.29,18.14
LaPlace,1,US,1527824100,78,30.07,-90.48,82.4,3.36
Shasta Lake,1,US,1527824100,50,40.68,-122.36,71.6,6.93
San Joaquin,36,PH,1527825633,99,10.59,122.14,82.73,4.16
Oud-Beijerland,32,NL,1527823500,100,51.83,4.42,64.4,1.12
Zheleznodorozhnyy,0,RU,1527823800,49,55.75,38.0,44.6,8.95
Lhokseumawe,20,ID,1527825634,99,5.18,97.15,84.62,5.95
Juru,32,BR,1527825635,71,-7.54,-37.82,69.32,8.19
General Roca,0,AR,1527822000,71,-39.03,-67.58,33.8,2.71
Mallig,36,PH,1527825636,91,17.21,121.61,84.35,1.7
Matanza,56,ES,1527825636,93,42.39,-6.05,42.41,2.93
Chegutu,0,ZW,1527825636,80,-18.13,30.15,48.8,4.72
Upper Arlington,1,US,1527825360,88,39.99,-83.06,73.4,8.05
Mazara del Vallo,0,IT,1527821700,72,37.65,12.59,64.4,3.36
Ghauspur,0,PK,1527825600,30,28.14,69.08,98.6,11.41
Nove Mesto pod Smrkem,8,CZ,1527825638,79,50.92,15.23,61.58,3.38
San Simon,75,PH,1527822000,55,14.99,120.78,93.2,2.24
Lainate,0,IT,1527823200,77,45.57,9.03,64.4,5.82
Santa Maria,40,BR,1527822000,93,-29.69,-53.81,62.6,1.12
Kurganinsk,0,RU,1527825641,46,44.89,40.59,64.1,8.63
Voula,0,GR,1527823200,34,37.85,23.76,66.2,2.24
Bogoroditsk,0,RU,1527825642,55,53.77,38.13,43.76,11.1
Batas,40,PH,1527822000,56,14.23,120.94,93.2,12.75
Rio de Mouro,20,PT,1527823800,87,38.77,-9.33,57.2,4.7
Abapo,92,BO,1527825643,100,-18.83,-63.47,61.76,2.48
Mayya,0,RU,1527823800,39,61.74,130.28,64.4,11.18
Suchiapa,90,MX,1527821580,69,16.62,-93.08,80.6,2.04
Glomfjord,75,NO,1527823200,100,66.82,13.94,48.2,10.29
Lampa,20,CL,1527825600,80,-33.29,-70.87,42.8,1.12
Byureghavan,75,AM,1527823800,93,40.31,44.6,59.0,2.24
Pellerd,0,HU,1527825647,73,46.03,18.15,59.96,2.71
Kladovo,8,RS,1527825648,86,44.61,22.61,60.23,2.82
Oxford,1,US,1527824100,94,33.61,-85.83,75.2,4.61
Krasnovka,0,RU,1527825649,40,48.37,40.26,54.83,15.79
Banjaran,12,ID,1527825650,61,-7.82,112.03,82.91,3.38
Szada,0,HU,1527823800,100,47.64,19.31,59.0,3.49
Odawara,40,JP,1527822000,39,35.26,139.15,78.8,10.29
Biberist,80,CH,1527823800,100,47.18,7.56,57.2,3.36
Helmsdale,90,GB,1527823200,100,58.12,-3.65,55.4,4.7
Luzzi,40,IT,1527821400,88,39.45,16.29,71.6,9.17
Aalsmeer,75,NL,1527823500,100,52.27,4.76,60.8,2.24
Nioki,0,CD,1527825654,97,-2.72,17.69,72.38,2.15
Dagami,44,PH,1527825655,100,11.06,124.9,82.1,4.27
Pottstown,75,US,1527823260,94,40.25,-75.65,75.2,4.7
Verbilki,0,RU,1527823800,50,56.53,37.6,42.8,11.18
San Diego,90,US,1527823800,72,32.72,-117.16,64.4,8.05
Pellezzano,0,IT,1527823200,82,40.73,14.76,69.8,2.24
Spa,68,BE,1527825120,100,50.49,5.86,66.2,5.95
Kranjska Gora,75,IT,1527823800,93,46.49,13.78,60.8,4.7
Leshukonskoye,80,RU,1527825658,62,64.9,45.76,35.03,7.63
Tagab,0,AF,1527825000,16,34.85,69.65,78.8,8.05
Tataranu,12,RO,1527825659,53,45.52,27.32,65.72,9.08
Belo Jardim,92,BR,1527825660,89,-8.33,-36.42,65.45,7.52
Akhalgori,40,GE,1527823800,77,42.13,44.48,64.4,9.17
Rastede,0,DE,1527825000,88,53.25,8.2,64.4,2.24
Ikon-Khalk,48,RU,1527825661,74,44.32,41.92,59.33,8.52
Bunnik,75,NL,1527823500,100,52.07,5.19,60.8,2.24
Islamkot,0,PK,1527825662,69,24.7,70.18,86.33,9.98
Nagyrede,0,HU,1527823800,100,47.77,19.85,59.0,2.48
La Celia,20,CO,1527822000,88,5.0,-76.0,69.8,4.7
Snizhne,0,UA,1527825663,39,48.02,38.76,57.98,16.24
Viby,8,DK,1527823200,76,55.55,12.02,57.2,5.82
Constitucion,90,MX,1527821280,22,23.99,-104.67,80.6,3.36
Oria,0,IT,1527823200,93,40.5,17.64,69.8,4.7
North Olmsted,75,US,1527823020,78,41.42,-81.92,78.8,13.87
Puck,0,PL,1527823800,87,54.29,17.87,59.0,3.36
Khatassy,0,RU,1527823800,33,61.91,129.64,64.4,11.18
Tuy,40,PH,1527822000,56,14.02,120.73,93.2,12.75
Mae Chan,40,TH,1527822000,78,20.15,99.85,82.4,3.36
Bulod,44,PH,1527825668,100,11.0,124.99,82.1,4.27
Stroesti,0,RO,1527823800,63,47.62,26.13,64.4,9.17
Ramnagar,92,IN,1527825670,95,27.17,84.33,75.08,8.86
Kariapatti,20,IN,1527822000,66,9.68,78.1,86.0,2.71
Charsadda,20,PK,1527823800,28,34.14,71.73,93.2,6.93
Chamonix-Mont-Blanc,0,IT,1527823800,100,45.92,6.87,59.0,2.24
Khurai,0,IN,1527825673,31,24.04,78.33,95.06,3.94
Casiguran,44,PH,1527825673,90,12.87,124.01,86.24,5.95
Fujinomiya,44,JP,1527825674,55,35.24,138.62,69.14,0.92
Xapuri,8,BR,1527825674,97,-10.65,-68.5,71.75,1.92
Mosina,0,PL,1527823800,88,52.25,16.85,62.6,5.82
Hajdunanas,0,HU,1527822900,72,47.85,21.43,64.4,1.12
